Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Andhra University Examination Computer_2bdc77/a_results""))",Chrome 125.0.0.0,,,13-06-2024 14:32:02,13-06-2024 14:32:05,2.943s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University Examination Computer_2bdc77/a_pg login""))",Chrome 125.0.0.0,,,13-06-2024 14:32:05,13-06-2024 14:32:06,1.145s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University Examination Computer_2bdc77/a_ug login""))",Chrome 125.0.0.0,,,13-06-2024 14:32:06,13-06-2024 14:32:13,6.638s,PASSED
"click(findTestObject(""Object Repository/Page_AU/p_Copyright  2020 Andhra University. All ri_135de0""))",Chrome 125.0.0.0,,,13-06-2024 14:32:13,13-06-2024 14:32:13,0.336s,PASSED
"click(findTestObject(""Object Repository/Page_AU/div_HOME                                   _e8a884""))",Chrome 125.0.0.0,,,13-06-2024 14:32:13,13-06-2024 14:32:13,0.307s,PASSED
"click(findTestObject(""Object Repository/Page_AU/a_Mon-Sat  1000 AM to 530 PM_meanmenu-reveal""))",Chrome 125.0.0.0,,,13-06-2024 14:32:13,13-06-2024 14:32:14,0.313s,PASSED
"click(findTestObject(""Object Repository/Page_AU/a_SPECIAL HALLTICKETS""))",Chrome 125.0.0.0,,,13-06-2024 14:32:14,13-06-2024 14:32:14,0.547s,PASSED
"click(findTestObject(""Object Repository/Page_AU/a_Semester""))",Chrome 125.0.0.0,,,13-06-2024 14:32:14,13-06-2024 14:32:15,0.389s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:32:15,13-06-2024 14:32:17,2.089s,PASSED
,,,,,,,
Test Cases/Accessment 1/Home Page,Chrome 125.0.0.0,,,13-06-2024 14:32:17,13-06-2024 14:32:46,29.537s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:32:17,13-06-2024 14:32:18,1.057s,PASSED
"navigateToUrl(""https://www.andhrauniversity.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:32:18,13-06-2024 14:32:31,13.079s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/li_APSET-2024""))",Chrome 125.0.0.0,,,13-06-2024 14:32:31,13-06-2024 14:32:32,0.674s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/li_AU Looks""))",Chrome 125.0.0.0,,,13-06-2024 14:32:32,13-06-2024 14:32:32,0.336s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_AU Library(Digital Manuscript Repository)""))",Chrome 125.0.0.0,,,13-06-2024 14:32:32,13-06-2024 14:32:33,0.727s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_AU Library(E- Resources)""))",Chrome 125.0.0.0,,,13-06-2024 14:32:33,13-06-2024 14:32:34,1.246s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Academic Calender""))",Chrome 125.0.0.0,,,13-06-2024 14:32:34,13-06-2024 14:32:36,1.990s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_UG Syllabus""))",Chrome 125.0.0.0,,,13-06-2024 14:32:36,13-06-2024 14:32:38,2.031s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_PG  Professional Syllabus""))",Chrome 125.0.0.0,,,13-06-2024 14:32:38,13-06-2024 14:32:40,2.023s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_AUCMS""))",Chrome 125.0.0.0,,,13-06-2024 14:32:40,13-06-2024 14:32:42,1.935s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:32:42,13-06-2024 14:32:46,4.299s,PASSED
,,,,,,,
Test Cases/Student Corner,Chrome 125.0.0.0,,,13-06-2024 14:33:54,13-06-2024 14:34:17,22.587s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:33:54,13-06-2024 14:33:57,3.182s,PASSED
"navigateToUrl(""https://www.andhrauniversity.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:33:57,13-06-2024 14:34:13,15.380s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/span__navbar-toggler-icon fas fa-bars""))",Chrome 125.0.0.0,,,13-06-2024 14:34:13,13-06-2024 14:34:13,0.315s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Student Corner""))",Chrome 125.0.0.0,,,13-06-2024 14:34:13,13-06-2024 14:34:14,0.837s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Student Events""))",Chrome 125.0.0.0,,,13-06-2024 14:34:14,13-06-2024 14:34:15,1.156s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Academic Calendar/img""))",Chrome 125.0.0.0,,,13-06-2024 14:34:15,13-06-2024 14:34:15,0.389s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Academic Calendar/h4_Inauguration -  Andhra TECH League -2023""))",Chrome 125.0.0.0,,,13-06-2024 14:34:15,13-06-2024 14:34:16,0.584s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Student Corner""))",Chrome 125.0.0.0,,,13-06-2024 14:34:16,13-06-2024 14:34:17,0.714s,FAILED
